name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
LRAD CORP,2012,Q1,818261.5,,,9186397.25,,,,32374499,,,,-20710.5,-64927,69714.5,,31503804
LRAD CORP,2012,Q3,,,,,0,5.00E+07,32374499,32374499,,,91153,,,130256,-65287369,31925376
LRAD CORP,2013,Q1,,,,,0,5.00E+07,32386849,32386849,,,26746,,,,,
LRAD CORP,2014,Q1,,,,,0,5.00E+07,33053039,,,,,,,,,
LRAD CORP,2014,Q2,1357014.5,3859466,,15995161.75,,,,33053039,,,,41070.75,,,-62345009.5,32752746
LRAD CORP,2016,Q1,,,,,,,,,,,,,-121750,479915.5,-50008223,
LRAD CORP,2016,Q3,,,,18885269.75,0,,,32348657,44872.5,,,,,,,32524254.83
LRAD CORP,2017,Q1,824587,,,,,5.00E+07,,31800103,,,,,-1026134,,-52301439,32131161.5
LRAD CORP,2017,Q2,928340.5,3324820.5,,,,,31800103,31800103,,,,,,472504,-52152263.5,31893825.25
LRAD CORP,2018,Q1,,,-5284.5,14088041.25,,,,,,,,,-169115.5,507536,,
LRAD CORP,2019,Q2,2155634.5,,,,,,,32874132,608173,305723,,,1590015.25,2466417,-55404500,32452939
LRAD CORP,2019,Q3,,,,11461078.33,0,,,,,480258.5,,390066.875,,,,32469918.5
"LUBOA GROUP, INC.",2016,Q3,,,,,,,,11600000,,,,,,,,
"LUBOA GROUP, INC.",2017,Q1,12871,,,,,7.50E+07,11600000,11600000,,,,,-16688.5,,,
"LUBOA GROUP, INC.",2017,Q2,,,,17364,0.001,,,11600000,,,,,,,-93689.5,
"LUBOA GROUP, INC.",2018,Q1,,,,,,,,,,,,,-23519,,,
"LUBOA GROUP, INC.",2018,Q2,,,,,0.001,7.50E+07,,,,,,-22501.75,,,-152552,
LUBYS INC,2016,Q2,19631000,,,1837250,0.32,,29267986.5,,,,11055000,-2186500,-2011000,,,
LUBYS INC,2016,Q3,19925000,,,1818000,0.32,,,,,,,,,,,
LUBYS INC,2017,Q2,17925000,,,,0.32,1.00E+08,,29003198,,,11794000,,,,,
LUBYS INC,2017,Q3,16140000,,,1393750,0.32,,,,,,,,,187651000,121178500,
LUBYS INC,2018,Q2,16346500,,,,0.32,1.00E+08,,,,,10344500,-14804000,,,99453500,
LUBYS INC,2018,Q3,16083500,,,,0.32,,,,,,,-16464250,-10957250,159651000,91645000,29714250
LUBYS INC,2019,Q1,9365500,,,,0.32,1.00E+08,30084001,29584001,,,5128000,,,,71424000,29875000
LUBYS INC,2019,Q2,,,,3814500,0.32,1.00E+08,30146567,29646567,,,,,-2425500,134604000,,
LUBYS INC,2019,Q3,,,,,0.32,,,,,,,-9465375,,,,29868500
LUBYS INC,2020,Q2,,,,5360000,0.32,1.00E+08,30615300.5,30115300.5,,,,-5885000,-154250,,,
